CODE_Origin,CODE_Destination,Coste,Carga,Capacidad,daily_movement
Madrid,Barcelona,10,Sobrecargado,120,130.0
Madrid,Valencia,9,Subcargado,110,10.0
Madrid,Seville,11,Optimal,100,80.0
Madrid,Bilbao,8,Optimal,90,72.0
Madrid,Zaragoza,7,Optimal,80,64.0
Barcelona,Valencia,7,Optimal,60,48.0
Graz,Ljubljana,7,Optimal,60,48.0
Barcelona,Bilbao,6,Optimal,55,44.0
Valencia,Seville,8,Optimal,80,64.0
Strasbourg,Frankfurt,9,Optimal,110,88.0
Ljubljana,Zagreb,9,Optimal,110,88.0
Bilbao,Barcelona,6,Optimal,55,44.0
Bilbao,Valencia,7,Optimal,75,60.0
Barcelona,Marseille,7,Optimal,60,48.0
Paris,Lyon,10,Optimal,120,96.0
Paris,Brussels,9,Optimal,110,88.0
Paris,Amsterdam,11,Optimal,100,80.0
Lyon,Marseille,8,Optimal,70,56.0
Marseille,Toulouse,9,Optimal,80,64.0
Berlin,Hamburg,12,Optimal,130,104.0
Berlin,Munich,10,Optimal,110,88.0
Berlin,Cologne,8,Optimal,90,72.0
Munich,Frankfurt,8,Optimal,70,56.0
Cologne,Berlin,8,Optimal,90,72.0
Frankfurt,Munich,8,Optimal,70,56.0
Hamburg,Bremen,6,Optimal,50,40.0
Rome,Milan,10,Optimal,120,96.0
Rome,Naples,9,Optimal,90,72.0
Milan,Venice,6,Optimal,50,40.0
Milan,Bologna,8,Optimal,70,56.0
Milan,Genoa,4,Optimal,40,32.0
London,Birmingham,10,Optimal,120,96.0
London,Manchester,9,Optimal,110,88.0
London,Glasgow,12,Optimal,130,104.0
Birmingham,Manchester,7,Optimal,60,48.0
Birmingham,Liverpool,8,Optimal,70,56.0
Liverpool,Dublin,9,Optimal,16,12.8
Amsterdam,Bruxelles,6,Optimal,50,40.0
Amsterdam,Rotterdam,7,Optimal,60,48.0
Amsterdam,Utrecht,4,Optimal,40,32.0
Bruxelles,Antwerp,3,Optimal,30,24.0
Bruxelles,Louvain,4,Optimal,40,32.0
Vienna,Budapest,9,Optimal,100,80.0
Vienna,Graz,7,Optimal,60,48.0
Budapest,Bratislava,6,Optimal,50,40.0
Budapest,Krakow,8,Optimal,70,56.0
Copenhague,Malmo,7,Optimal,60,48.0
Oslo,Stockholm,9,Optimal,80,64.0
Helsinki,Stockholm,10,Optimal,90,72.0
Helsinki,Tallinn,8,Optimal,70,56.0
Tallinn,Riga,4,Optimal,40,32.0
Vilnius,Riga,3,Optimal,30,24.0
Oslo,Bergen,6,Optimal,50,40.0
Skopje,Sofia,6,Optimal,15,12.0
Athens,Patras,8,Optimal,70,56.0
Thessaloniki,Skopje,7,Optimal,60,48.0
Bucharest,Constanta,8,Optimal,70,56.0
Sofia,Bucharest,9,Optimal,90,72.0
Sofia,Plovdiv,6,Optimal,50,40.0
Zagreb,Split,6,Optimal,50,40.0
Zagreb,Osijek,4,Optimal,40,32.0
Belgrade,Zagreb,9,Optimal,80,64.0
